Timestamp;Наименование;"Синонимичные наименования
(Если несколько, пишите через запятую)";Семейство;Красная книга ;Есть ли ножка;"Размер ножки ОТ в мм (диаметр)
в ответ только число";"Размер ножки ДО в мм  (диаметр)
в ответ только число";Тип ножки ;"Цвет ножки
(Если несколько, пишите через запятую)"; Тип шляпки;"Цвет шляпки
(Если несколько, пишите через запятую)";Под шляпкой ;Описание гриба;"Двойники, если есть, то добавить в форму
(Если несколько, пишите через запятую)";Фотографии
10.23.2023 15:05:32;Тестовый гриб;Тестовый гриб1, Тестовый гриб10;Тестовое;Да;Да;10;20;С юбкой;Белая;Выпуклая;Коричневая;Гладкая;Тестовое описание, Тестовое описание, Тестовое описание, Тестовое описание, Тестовое описание, Тестовое описание;;https://drive.google.com/open?id=1Mv_z-8b8Or6uWQXavuVca7HcNR_vethS, https://drive.google.com/open?id=16BMHB07qLZjqN00aTw1fS_PWBrQq-s05
10.30.2023 0:02:25;Свинушка тонкая;Коровник, Матрёшка , Кобылка, Свинух, Свинарь, Свинорой, Свиное ухо;Свинушковые;Полусъедобен;Да;10;15;Утолщенная вверху;Бело-жёлтая;Вогнутая;Оливково-бурая, охристо-бурая, рыжеватая, ржавая;Пластинчатая;"Растёт в лиственных и хвойных лесах, чаще всего в молодых березняках, дубняках и кустарниках, по окраинам оврагов и сфагновых болот, на опушках около полян, а также около замшелых оснований елей и сосен, на корнях вывороченных деревьев. Встречается на влажной почве часто и обильно группами, реже одиночно.
Плодоносит с июня по октябрь.";Свинушка ольховая, Войлочная свинушка;https://drive.google.com/open?id=1tziNSKpxHGxVe8UjVstd3NvawUIG1VRK
10.30.2023 0:08:26;Жёлчный гриб;Горчак, Ложный белый гриб, Ложный подберёзовик, Гриб заячья губа, Тилопилус горький;Болетовые;Да;Да;10;40;Утолщенная внизу;Кремово-охристая, желтоватая, желтовато-бурая;Выпуклая;Бежевый, светло-каштановый, буровато-коричневый;Трубчатая;Вид широко распространен по всему миру. Отмечен в Северной Америке, Европе, Азии, Центральной Америке, Австралии, на острове Гренландия. Период плодоношения с июня по октябрь. Растёт в хвойных и смешанных сырых лесах, на почве, часто у оснований стволов деревьев, на покрытых мхом корнях, около гнилых пней или на них, на гниющем валеже хвойных деревьев, на старых муравейниках. Жёлчный гриб несъедобен из-за горького вкуса.;Белый гриб, подберёзовик;https://drive.google.com/open?id=1vBSLE0oihq5TJGMwsx1-Kz5EkyhWcwkx
10.30.2023 0:14:07;Рядовка лиловоногая;Рядовка лиловоножковая, Рядовка двухцветная, Синеножка, Подотавник;Рядовковые;Нет;Да;20;30;Ровная;Серовато-фиолетовый, голубоватый;Выпуклая;Серо-фиолетовый, серый, серо-коричневый, белый;Пластинчатая;"Рядовка лиловоногая  принадлежит к категории южных грибов. Иногда его находят и в Подмосковье, Рязанской области. В целом распространён по всей территории России. Активное плодоношение приходится на период с середины весны и до середины осени. Эти грибы растут колониями, образуя большие круги или ряды. Синеножки также любят гумусные почвы, поэтому их часто можно встретить около ферм, в старых ямах с компостом и вблизи жилых домов. Этот вид грибов предпочитает расти на открытой местности, но иногда лиловоногие рядовки встречают и в лесу. Часто такие грибы находят около лиственных пород деревьев. Синеножка пригодна для употребления в пищу.

";;https://drive.google.com/open?id=15JmAumbDXP6UO9J99KpC18Ql0rqUroTU
10.30.2023 0:18:46;Рядовка тополёвая;Тополёвка, Песочник тополевый, Песчаник, Рядовка тополиная, Подтополевик, Подтопольник;Рядовковые;Нет;Да;10;20;Ровная;Розовато-белый, розовато-коричневый;Выпуклая;Розовато-коричневатый;Пластинчатая;Рядовка тополёвая растёт с августа по октябрь большими группами (целые гряды) под тополями, лиственных лесах с преобладанием осины, можно встретить в посадках вдоль дорог, в парках. Распространены в Европейской части России, Сибири. Гриб имеет приятный аромат свежей муки. По своим вкусовым и потребительским качествам, рядовка тополёвая соотносится к съедобным грибам.;Скученная рядовка, тигровая рядовка;https://drive.google.com/open?id=1_lvouUon0gwl1XsLSFinrZopRMYLPQnV
10.30.2023 0:25:13;Рамария жёлтая;Рогатик жёлтый, Медвежья лапка, Оленьи рожки, Коралл жёлтый;Гомфовые;Нет;Нет;;;;;Выпуклая;Жёлтый, белый;Гладкая;Рамария жёлтая растет на земле в лиственных, хвойных и смешанных лесах в августе — сентябре, группами и одиночно. Особенно обилен в лесах Карелии. Встречается в горах Кавказа, а так же в странах Центральной Европы. Эта рамария считается съедобным грибом, но при употреблении ее в пищу необходимо принимать определенные меры предосторожности. Прежде всего, собирать следует только молодые экземпляры и использовать основание, так как веточки горчат. Зрелые грибы и вовсе не съедобны из-за горечи.;Рамария красивая, Рамария жёсткая, Тупой рогатик, Калоцера клейкая;https://drive.google.com/open?id=1w32Y2btZ8kbbO4ZRB3b6H4ob011dPmd-
10.30.2023 0:37:04;Опёнок осенний;Опёнок настоящий;Физалакриевые;Нет;Да;5;15;Ровная;Желтовато-коричневатый, желтый, оранжевый, оливковый, серый;Выпуклая; Желтовато-коричневатый, желтый, оранжевый, оливковый, серый;Пластинчатая;"Плодоносит со второй половины июля, и до конца осени на древесине любых видов, в том числе, и находящейся под землей, сростками и семьями, вплоть до очень значительных. Основной слой, как правило, проходит с конца августа и до третьей декады сентября, длится недолго, 5-7 дней. В остальное время плодоношение локально, однако, можно найти в таких локальных точках довольно значительное количество плодовых тел. 
";Опёнок тёмный, Опёнок толстоногий, Опёнок луковичноногий;https://drive.google.com/open?id=1vrQrqOGCbFAG8MRTmLck22gclVxnVRWE
10.30.2023 0:44:00;Колпак кольчатый;Курочка, Приболотник белый, Приболотух, Турок, турка), Розитес тусклый, Опёнок морщинистый, Паутинник сморщенный;Паутинниковые;Да;Да;10;30;С юбкой;Беловатый, желтоватый, светло-охристый;Выпуклая;Беловатый, желтоватый, светло-охристый, розоватый;Пластинчатая;Довольно распространённый вид, встречается в Северной Америке, Европе и Азии. Отмечен в США, Японии, Гренландии, европейских странах, Беларуси, в западных и центральных районах европейской части России, центральном и южном Урале, Сибири, на Дальнем Востоке. Довольно распространённый вид, встречается в Северной Америке, Европе и Азии. Отмечен в США, Японии, Гренландии, европейских странах, Беларуси, в западных и центральных районах европейской части России, центральном и южном Урале, Сибири, на Дальнем Востоке. Съедобный вкусный гриб 4-й категории.;Паутинник бело-фиолетовый, Паутинник бело-фиолетовый, Полевик, Волоконница Патуйяра;https://drive.google.com/open?id=1SVP7Y0yGTlQaMjcBwjsva1voTaK8USIC
10.30.2023 0:49:32;Козляк;Решетняк, Маслёнок сухой, Козлёнок, Иванчик, Коровик, Коровий гриб, Коровий хлеб, Коровяк, Моховик;Маслёнковые;Нет;Да;10;20;Ровная;Желтоватый, буроватый, телесный, желтовато-охристый, бежевый;Выпуклая;Телесный, желтовато-охристый, бежевый, оранжево-коричневый, желто-бурый, светло-бурый, розоватый;Трубчатая;Отмечен в Северной и Южной Америке, Африке, Азии. Широко распространён в умеренной климатической зоне Евразии, тяготеет к северным регионам. Встречается в Европе, Беларуси, Украине, европейской части России, Сибири, на Урале, Дальнем Востоке, Северном Кавказе. На территории СНГ плодоносит с июля по октябрь. Образует микоризу с двухвойными соснами: сосна обыкновенная, сосна густоцветковая, сосна приморская. Предпочитает кислые питательные увлажнённые почвы. Тяготеет к местам с нарушенным местообитаниям: растёт на песчаных обочинах лесных дорог и тропинок, зарастающих сосной пустырях с песчаной почвой, засаженных сосной вырубках, на сфагновых болотах и, конечно же, в лесах с преобладанием сосны. Встречается часто, как правило, большими группами, часто может расти кучей плотно друг к другу. Съедобный вкусный гриб 4-й категории.;Масленок жёлто-бурый, Моховик зелёный;https://drive.google.com/open?id=1URpJ4XAbz_gCBJ8wtrQACQ80k6sC3a-S
10.30.2023 0:55:24;Дождевик съедобный;Дождевик, Дождевик настоящий, Дождевик шиповатый, Дождевик жемчужный;Шампиньоновые;Нет;Нет;;;;;Выпуклая;Белый;Гладкая;У молодого гриба плодовое тело шиповато-бородавчатое, белое. У зрелых грибов, становится бурым, охристым и голым. Дождевик съедобный встречается в хвойных и лиственных лесах с июня по ноябрь. Малоизвестный съедобный вкусный гриб. Дождевики и пылевики съедобны, пока не потеряют белизну. В пищу употребляют молодые плодовые тела;Головач продолговатый;https://drive.google.com/open?id=1XXnPqDpAysOH9SES8wp7YzIBuzXs9WLH
